,#1,# 2,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 10,# 11,# 12
121,8,11,0,2,0,32,0,4,3,0,32,44
122,0,0,0,0,0,8,42,0,0,0,27,0
123,0,0,0,0,0,0,0,21,11,18,4,43
124,0,15,15,20,0,0,0,0,0,18,18,0
125,0,0,0,0,40,31,15,37,16,4,24,0
126,16,15,11,0,26,0,15,24,1,0,5,0
127,0,0,0,23,0,40,0,24,16,9,8,0
128,0,17,32,10,25,0,3,30,0,0,25,43
129,0,0,0,0,0,12,0,4,18,0,0,0
130,11,15,0,0,0,0,0,0,11,0,0,0
131,0,0,36,0,0,36,0,0,11,0,0,0
132,0,0,11,22,29,16,10,4,8,4,25,12
133,0,0,0,0,0,0,0,0,16,0,0,0
134,0,0,0,0,0,0,19,0,0,0,0,0
